t,agent_name,exit_type,entry_price,exit_price,position,realised_PnL
64,institutional_0,take-profit,123.6461418593904,189.72249001334214,3488.0,230474.30236098368
64,institutional_2,take-profit,123.68475544934944,189.72249001334214,4109.0,271349.051323446
66,institutional_0,stop-loss,151.77799201067373,137.33764418271173,538.0,-7768.907131443556
66,institutional_2,stop-loss,151.77799201067373,137.33764418271173,639.0,-9227.382262067718
67,institutional_1,stop-loss,128.41995469401502,119.89902710622562,4013.0,-34194.48240979887
67,institutional_3,stop-loss,128.10799648788787,119.89902710622562,2500.0,-20522.423454155643
67,institutional_4,stop-loss,127.69999015910142,119.89902710622562,3613.0,-28184.879510040268
82,institutional_0,take-profit,136.80136729427858,209.62244888697023,3640.0,265068.7369973976
82,institutional_2,take-profit,136.78963201154377,209.62244888697023,4271.0,311068.9608749464
82,institutional_4,take-profit,134.7128125859164,209.62244888697023,2400.0,179783.1271225292
85,institutional_3,take-profit,143.1787250713816,241.4850611177897,1908.0,187568.4891765467
88,institutional_1,take-profit,162.44968454414675,278.6620273224577,2686.0,312146.35270254314
93,institutional_0,take-profit,202.950485637137,319.0695968272995,2605.0,302490.28465037333
94,institutional_1,stop-loss,275.60793142887763,255.2556774618396,865.0,-17604.69968148789
95,institutional_3,stop-loss,238.33584092436524,222.0280921373712,1300.0,-21200.073423092254
96,institutional_2,stop-loss,218.718696086115,177.62247370989698,3291.0,-135247.66784013348
96,institutional_4,stop-loss,215.37534576193113,177.62247370989698,1784.0,-67351.12374082892
199,institutional_2,stop-loss,158.83264044096404,146.685349940872,604.0,-7336.963462055601
199,institutional_3,stop-loss,158.83264044096404,146.685349940872,271.0,-3291.915725524947
