t,agent_name,exit_type,entry_price,exit_price,position,realised_PnL
161,momentum_7,stop-loss,101.89163149800889,115.85287405054558,57.0,795.7908254945912
161,momentum_8,stop-loss,106.44290481321923,115.85287405054558,141.0,1326.8056624630156
161,momentum_12,stop-loss,101.8911939695589,115.85287405054558,33.0,460.7354426725605
161,momentum_13,stop-loss,101.94171369497212,115.85287405054558,46.0,639.9133763563791
161,momentum_17,stop-loss,101.93487165393564,115.85287405054558,3.0,41.75400718982981
161,momentum_19,stop-loss,101.88512164794669,115.85287405054558,49.0,684.4198677273456
161,momentum_22,stop-loss,103.54698556121828,115.85287405054558,96.0,1181.365294975421
161,momentum_24,stop-loss,103.22352382676013,115.85287405054558,65.0,820.9077645460543
162,momentum_0,stop-loss,102.55432799543357,111.33526652355111,28.0,245.86627878729126
162,momentum_2,stop-loss,104.45031091142364,111.33526652355111,41.0,282.28318009722625
162,momentum_3,stop-loss,103.28788095467273,111.33526652355111,35.0,281.6584949107434
162,momentum_6,stop-loss,103.15436490884098,111.33526652355111,45.0,368.1405726619562
162,momentum_9,stop-loss,106.50781430815415,111.33526652355111,100.0,482.745221539696
162,momentum_11,stop-loss,102.3950274176806,111.33526652355111,28.0,250.3266949643745
162,momentum_14,stop-loss,107.3490333987965,111.33526652355111,52.0,207.2841224872402
162,momentum_15,stop-loss,106.279437431383,111.33526652355111,41.0,207.28899277889252
162,momentum_18,stop-loss,103.06984801036964,111.33526652355111,1.0,8.265418513181473
162,momentum_21,stop-loss,103.30748886918651,111.33526652355111,1.0,8.027777654364598
