time,event,event_state,panic,volatility,liquidity,ewma_price,value_signal,trend,lending_rate,total_short_positions,retail_demand,contrarian_demand,momentum_demand,institutional_demand,value_investor_demand,total_demand,total_volume,price
0,no_event,0.0,0.015,0.075,10000.0,100.0,0.0,0.0,0.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0560534907358
1,no_event,0.0,0.013909,0.069546,9998.9009,100.0028,-0.0005,0.00564,0.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0607774038853
2,no_event,0.0,0.003285,0.016426,9998.6165,100.0057,-0.0006,0.0051,0.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06616637392678
3,no_event,0.0,0.004825,0.024126,9998.3711,100.0087,-0.0006,0.004724,0.01,0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,100.07402553812796
4,no_event,0.0,0.005455,0.027274,9998.3414,100.012,-0.0006,0.004664,0.01,0,39.0,0.0,0.0,0.0,0.0,39.0,39.0,100.06766935471842
5,no_event,0.0,0.010022,0.050112,9997.8404,100.0148,-0.0005,0.003185,0.01,0,72.0,0.0,0.0,0.0,0.0,72.0,72.0,100.45401329954878
6,no_event,0.0,0.018813,0.094065,9997.0155,100.0367,-0.0042,0.041396,0.01,0,89.0,0.0,0.0,0.0,0.0,89.0,89.0,100.6516290776279
7,no_event,0.0,0.023548,0.117742,9996.3581,100.0675,-0.0058,0.053703,0.01,0,70.0,0.0,0.0,0.0,0.0,70.0,70.0,100.86930481379336
8,mild_positive,0.3,0.021821,0.109104,9995.5284,100.1076,-0.0076,0.065736,0.01,0,43.0,0.0,0.0,365.0,0.0,408.0,408.0,102.12968363510704
9,mild_positive,0.279718,0.020028,0.100139,9995.1218,100.2087,-0.0192,0.177498,0.01,0,20.0,-240.0,0.0,2202.0,0.0,1982.0,2462.0,107.59631571100168
10,mild_positive,0.260807,0.045573,0.227866,9994.1223,100.5781,-0.0698,0.590648,0.01,0,154.0,-292.0,0.0,3299.0,0.0,3161.0,3745.0,115.58380549424633
11,mild_positive,0.243175,0.063409,0.317043,9992.1717,101.3283,-0.1407,0.860121,0.01,0,277.0,-352.0,0.0,3060.0,-59.0,2926.0,3748.0,123.3952193465689
12,mild_positive,0.226735,0.077381,0.386905,9991.6036,102.4317,-0.2047,0.939176,0.01,0,399.0,-407.0,-10.0,2581.0,-279.0,2284.0,3676.0,130.74344180090748
13,mild_positive,0.211406,0.085793,0.428964,9989.9115,103.8473,-0.259,0.964205,0.01,0,389.0,-412.0,-54.0,1714.0,-1345.0,292.0,3914.0,132.3040646145012
