agent_name,agent_type,initial_cash,holding,net_worth,profit
retail_0,Retail,6824,0,71.94,-6752.06
retail_1,Retail,6679,0,18.01,-6660.99
retail_2,Retail,5520,0,74.48,-5445.52
retail_3,Retail,14195,0,76.43,-14118.57
retail_4,Retail,12359,0,40.93,-12318.07
retail_5,Retail,11924,0,69.17,-11854.83
retail_6,Retail,6674,0,26.81,-6647.19
retail_7,Retail,9333,0,30.87,-9302.13
retail_8,Retail,6291,0,29.35,-6261.65
retail_9,Retail,14459,0,62.47,-14396.53
retail_10,Retail,6307,0,36.18,-6270.82
retail_11,Retail,10977,0,66.31,-10910.69
retail_12,Retail,6169,0,30.6,-6138.4
retail_13,Retail,12573,0,51.38,-12521.62
retail_14,Retail,8598,0,33.84,-8564.16
retail_15,Retail,5525,0,44.4,-5480.6
retail_16,Retail,10155,0,41.03,-10113.97
retail_17,Retail,12517,0,50.32,-12466.68
retail_18,Retail,9304,0,21.9,-9282.1
retail_19,Retail,8593,0,28.59,-8564.41
retail_20,Retail,6796,0,59.96,-6736.04
retail_21,Retail,6040,0,26.31,-6013.69
retail_22,Retail,14064,0,30.2,-14033.8
retail_23,Retail,13797,0,38.43,-13758.57
retail_24,Retail,12123,0,73.74,-12049.26
retail_25,Retail,9315,0,46.4,-9268.6
retail_26,Retail,9889,0,33.0,-9856.0
retail_27,Retail,7646,0,50.02,-7595.98
retail_28,Retail,14813,0,39.51,-14773.49
retail_29,Retail,8923,0,75.67,-8847.33
retail_30,Retail,12962,0,25.42,-12936.58
retail_31,Retail,7103,0,15.79,-7087.21
retail_32,Retail,14938,0,45.44,-14892.56
retail_33,Retail,8295,0,34.45,-8260.55
retail_34,Retail,12177,0,40.03,-12136.97
retail_35,Retail,10539,0,60.16,-10478.84
retail_36,Retail,6163,0,41.25,-6121.75
retail_37,Retail,10413,0,44.01,-10368.99
retail_38,Retail,13834,0,42.8,-13791.2
retail_39,Retail,8981,0,51.93,-8929.07
retail_40,Retail,12062,0,41.02,-12020.98
retail_41,Retail,6612,0,49.66,-6562.34
retail_42,Retail,9073,0,47.23,-9025.77
retail_43,Retail,9563,0,59.01,-9503.99
retail_44,Retail,6604,0,92.5,-6511.5
retail_45,Retail,8872,0,43.68,-8828.32
retail_46,Retail,5960,0,45.48,-5914.52
retail_47,Retail,9673,0,86.86,-9586.14
retail_48,Retail,12973,0,53.44,-12919.56
